DATES,PETROL,DIESEL,pet(weekly),die(weekly)
01-02-2014,75.9,58.4,,
02-02-2014,75.9,58.4,,
03-02-2014,75.9,58.4,,
04-02-2014,75.98766,58.4,75.9,58.4
05-02-2014,75.9,58.4,,
06-02-2014,75.9,58.47888,,
07-02-2014,75.9,58.4,,
08-02-2014,75.9,58.4,,
09-02-2014,75.9,58.4,,
10-02-2014,75.9,58.4,75.9,58.4
11-02-2014,75.9,58.4,,
12-02-2014,75.9,58.4,,
13-02-2014,75.9,58.4,,
14-02-2014,75.9,58.4,,
15-02-2014,75.9,58.4,,
16-02-2014,75.9,58.4,,
17-02-2014,75.9,58.4,75.9,58.4
18-02-2014,75.9,58.4,,
19-02-2014,75.9,58.4,,
20-02-2014,75.9,58.4,,
21-02-2014,75.9,58.4,,
22-02-2014,75.9,58.4,,
23-02-2014,75.9,58.4,,
24-02-2014,75.9,58.4,75.9,58.4
25-02-2014,75.9,58.4,,
26-02-2014,75.9,58.4,,
27-02-2014,75.9,58.4,,
28-02-2014,75.9,58.4,,
01-03-2014,75.9,58.8,,
02-03-2014,76.6,58.8,,
03-03-2014,76.6,58.8,,
04-03-2014,76.6,58.8,76.6,58.8
05-03-2014,76.6,58.8,,
06-03-2014,76.6,58.8,,
07-03-2014,76.6,58.8,,
08-03-2014,76.6,58.8,,
09-03-2014,76.6,58.8,,
10-03-2014,76.6,58.8,76.6,58.8
11-03-2014,76.6,58.8,,
12-03-2014,76.6,58.8,,
13-03-2014,76.6,58.8,,
14-03-2014,76.6,58.8,,
15-03-2014,76.6,58.8,,
16-03-2014,76.6,58.8,,
17-03-2014,76.6,58.8,76.6,58.8
18-03-2014,76.6,58.8,,
19-03-2014,76.6,58.8,,
20-03-2014,76.6,58.8,,
21-03-2014,76.6,58.8,,
22-03-2014,76.6,58.8,,
23-03-2014,76.6,58.8,,
24-03-2014,76.6,58.8,76.6,58.8
25-03-2014,76.6,58.8,,
26-03-2014,76.6,58.8,,
27-03-2014,76.6,58.8,,
28-03-2014,76.6,58.8,,
29-03-2014,76.6,58.8,,
30-03-2014,76.6,58.8,,
31-03-2014,76.6,58.8,,
01-04-2014,75.7,58.9,,
02-04-2014,75.7,58.9,,
03-04-2014,75.7,58.9,,
04-04-2014,75.7,58.9,75.7,58.9
05-04-2014,75.7,58.9,,
06-04-2014,75.7,58.9,,
07-04-2014,75.7,58.9,,
08-04-2014,75.7,58.9,,
09-04-2014,75.7,58.9,,
10-04-2014,75.7,58.9,75.7,58.9
11-04-2014,75.7,58.9,,
12-04-2014,75.7,58.9,,
13-04-2014,75.7,58.9,,
14-04-2014,75.7,58.9,,
15-04-2014,75.7,58.9,,
16-04-2014,75.7,58.9,,
17-04-2014,74.8,58,75.2,58.4
18-04-2014,74.8,58,,
19-04-2014,74.8,58,,
20-04-2014,74.8,58,,
21-04-2014,74.8,58,,
22-04-2014,74.8,58,,
23-04-2014,74.8,58,,
24-04-2014,74.8,58,74.8,58
25-04-2014,74.8,58,,
26-04-2014,74.8,58,,
27-04-2014,74.8,58,,
28-04-2014,74.8,58,,
29-04-2014,74.8,58,,
30-04-2014,74.8,58,,
01-05-2014,74.8,58,,
02-05-2014,74.8,58,,
03-05-2014,74.8,58,,
04-05-2014,74.8,58,74.8,58
05-05-2014,74.8,58,,
06-05-2014,74.8,58,,
07-05-2014,74.8,58,,
08-05-2014,74.8,58,,
09-05-2014,74.8,58,,
10-05-2014,74.8,58,74.8,58
11-05-2014,74.8,58,,
12-05-2014,74.8,58,,
13-05-2014,74.8,58,,
14-05-2014,74.8,58,,
15-05-2014,74.8,58,,
16-05-2014,74.8,58,,
17-05-2014,74.8,58,74.8,58
18-05-2014,74.8,58,,
19-05-2014,74.8,58,,
20-05-2014,74.8,58,,
21-05-2014,74.8,58,,
22-05-2014,74.8,58,,
23-05-2014,74.8,58,,
24-05-2014,74.8,58,74.8,58
25-05-2014,74.8,58,,
26-05-2014,74.8,58,,
27-05-2014,74.8,58,,
28-05-2014,74.8,58,,
29-05-2014,74.8,58,,
30-05-2014,74.8,58,,
31-05-2014,74.8,58,,
03-04-2016,62.4,51.4,,
04-04-2016,62.4,51.4,63.2,51.8
05-04-2016,64.4,52.4,,
06-04-2016,64.4,52.4,,
07-04-2016,64.4,52.4,,
08-04-2016,64.4,52.4,,
09-04-2016,64.4,52.4,,
10-04-2016,64.4,52.4,64.4,52.4
11-04-2016,64.4,52.4,,
12-04-2016,64.4,52.4,,
13-04-2016,64.4,52.4,,
14-04-2016,64.4,52.4,,
15-04-2016,64.4,52.4,,
16-04-2016,63.9,51,,
17-04-2016,63.9,51,,
18-04-2016,63.9,51,63.9,51.2
19-04-2016,63.9,51,,
20-04-2016,63.9,51,,
21-04-2016,63.9,51,,
22-04-2016,63.9,51,,
23-04-2016,63.9,51,,
24-04-2016,63.9,51,63.9,51
25-04-2016,63.9,51,,
26-04-2016,63.9,51,,
27-04-2016,63.9,51,,
28-04-2016,63.9,51,,
29-04-2016,63.9,51,,
30-04-2016,63.9,51,,
01-05-2016,65,54.2,,
02-05-2016,65,54.2,,
03-05-2016,65,54.2,,
04-05-2016,65,54.2,65,54.2
05-05-2016,65,54.2,,
06-05-2016,65,54.2,,
07-05-2016,65,54.2,,
08-05-2016,65,54.2,,
