DATES,PETROL,DIESEL,pet(weekly),die(weekly)
2014-02-01,75.9,58.4,,
2014-02-02,75.9,58.4,,
2014-02-03,75.9,58.4,,
2014-02-04,76.0,58.4,75.9,58.4
2014-02-05,75.9,58.4,,
2014-02-06,75.9,58.5,,
2014-02-07,75.9,58.4,,
2014-02-08,75.9,58.4,,
2014-02-09,75.9,58.4,,
2014-02-10,75.9,58.4,75.9,58.4
2014-02-11,75.9,58.4,,
2014-02-12,75.9,58.4,,
2014-02-13,75.9,58.4,,
2014-02-14,75.9,58.4,,
2014-02-15,75.9,58.4,,
2014-02-16,75.9,58.4,,
2014-02-17,75.9,58.4,75.9,58.4
2014-02-18,75.9,58.4,,
2014-02-19,75.9,58.4,,
2014-02-20,75.9,58.4,,
2014-02-21,75.9,58.4,,
2014-02-22,75.9,58.4,,
2014-02-23,75.9,58.4,,
2014-02-24,75.9,58.4,75.9,58.4
2014-02-25,75.9,58.4,,
2014-02-26,75.9,58.4,,
2014-02-27,75.9,58.4,,
2014-02-28,75.9,58.4,,
2014-03-01,75.9,58.8,,
2014-03-02,76.6,58.8,,
2014-03-03,76.6,58.8,,
2014-03-04,76.6,58.8,76.6,58.8
2014-03-05,76.6,58.8,,
2014-03-06,76.6,58.8,,
2014-03-07,76.6,58.8,,
2014-03-08,76.6,58.8,,
2014-03-09,76.6,58.8,,
2014-03-10,76.6,58.8,76.6,58.8
2014-03-11,76.6,58.8,,
2014-03-12,76.6,58.8,,
2014-03-13,76.6,58.8,,
2014-03-14,76.6,58.8,,
2014-03-15,76.6,58.8,,
2014-03-16,76.6,58.8,,
2014-03-17,76.6,58.8,76.6,58.8
2014-03-18,76.6,58.8,,
2014-03-19,76.6,58.8,,
2014-03-20,76.6,58.8,,
2014-03-21,76.6,58.8,,
2014-03-22,76.6,58.8,,
2014-03-23,76.6,58.8,,
2014-03-24,76.6,58.8,76.6,58.8
2014-03-25,76.6,58.8,,
2014-03-26,76.6,58.8,,
2014-03-27,76.6,58.8,,
2014-03-28,76.6,58.8,,
2014-03-29,76.6,58.8,,
2014-03-30,76.6,58.8,,
2014-03-31,76.6,58.8,,
2014-04-01,75.7,58.9,,
2014-04-02,75.7,58.9,,
2014-04-03,75.7,58.9,,
2014-04-04,75.7,58.9,75.7,58.9
2014-04-05,75.7,58.9,,
2014-04-06,75.7,58.9,,
2014-04-07,75.7,58.9,,
2014-04-08,75.7,58.9,,
2014-04-09,75.7,58.9,,
2014-04-10,75.7,58.9,75.7,58.9
2014-04-11,75.7,58.9,,
2014-04-12,75.7,58.9,,
2014-04-13,75.7,58.9,,
2014-04-14,75.7,58.9,,
2014-04-15,75.7,58.9,,
2014-04-16,75.7,58.9,,
2014-04-17,74.8,58.0,75.2,58.4
2014-04-18,74.8,58.0,,
2014-04-19,74.8,58.0,,
2014-04-20,74.8,58.0,,
2014-04-21,74.8,58.0,,
2014-04-22,74.8,58.0,,
2014-04-23,74.8,58.0,,
2014-04-24,74.8,58.0,74.8,58.0
2014-04-25,74.8,58.0,,
2014-04-26,74.8,58.0,,
2014-04-27,74.8,58.0,,
2014-04-28,74.8,58.0,,
2014-04-29,74.8,58.0,,
2014-04-30,74.8,58.0,,
2014-05-01,74.8,58.0,,
2014-05-02,74.8,58.0,,
2014-05-03,74.8,58.0,,
2014-05-04,74.8,58.0,74.8,58.0
2014-05-05,74.8,58.0,,
2014-05-06,74.8,58.0,,
2014-05-07,74.8,58.0,,
2014-05-08,74.8,58.0,,
2014-05-09,74.8,58.0,,
2014-05-10,74.8,58.0,74.8,58.0
2014-05-11,74.8,58.0,,
2014-05-12,74.8,58.0,,
2014-05-13,74.8,58.0,,
2014-05-14,74.8,58.0,,
2014-05-15,74.8,58.0,,
2014-05-16,74.8,58.0,,
2014-05-17,74.8,58.0,74.8,58.0
2014-05-18,74.8,58.0,,
2014-05-19,74.8,58.0,,
2014-05-20,74.8,58.0,,
2014-05-21,74.8,58.0,,
2014-05-22,74.8,58.0,,
2014-05-23,74.8,58.0,,
2014-05-24,74.8,58.0,74.8,58.0
2014-05-25,74.8,58.0,,
2014-05-26,74.8,58.0,,
2014-05-27,74.8,58.0,,
2014-05-28,74.8,58.0,,
2014-05-29,74.8,58.0,,
2014-05-30,74.8,58.0,,
2014-05-31,74.8,58.0,,
2016-04-03,62.4,51.4,,
2016-04-04,62.4,51.4,63.2,51.8
2016-04-05,64.4,52.4,,
2016-04-06,64.4,52.4,,
2016-04-07,64.4,52.4,,
2016-04-08,64.4,52.4,,
2016-04-09,64.4,52.4,,
2016-04-10,64.4,52.4,64.4,52.4
2016-04-11,64.4,52.4,,
2016-04-12,64.4,52.4,,
2016-04-13,64.4,52.4,,
2016-04-14,64.4,52.4,,
2016-04-15,64.4,52.4,,
2016-04-16,63.9,51.0,,
2016-04-17,63.9,51.0,,
2016-04-18,63.9,51.0,63.9,51.2
2016-04-19,63.9,51.0,,
2016-04-20,63.9,51.0,,
2016-04-21,63.9,51.0,,
2016-04-22,63.9,51.0,,
2016-04-23,63.9,51.0,,
2016-04-24,63.9,51.0,63.9,51.0
2016-04-25,63.9,51.0,,
2016-04-26,63.9,51.0,,
2016-04-27,63.9,51.0,,
2016-04-28,63.9,51.0,,
2016-04-29,63.9,51.0,,
2016-04-30,63.9,51.0,,
2016-05-01,65.0,54.2,,
2016-05-02,65.0,54.2,,
2016-05-03,65.0,54.2,,
2016-05-04,65.0,54.2,65.0,54.2
2016-05-05,65.0,54.2,,
2016-05-06,65.0,54.2,,
2016-05-07,65.0,54.2,,
2016-05-08,65.0,54.2,,
2016-05-09,65.0,54.2,,
2016-05-10,65.0,54.2,,
2016-05-11,65.0,54.2,65.0,54.2
2016-05-12,65.0,54.2,,
2016-05-13,65.0,54.2,,
2016-05-14,65.0,54.2,,
2016-05-15,65.0,55.5,,
2016-05-16,65.8,55.5,,
2016-05-17,65.8,55.5,,
2016-05-18,65.8,55.5,65.7,55.5
2016-05-19,65.8,55.5,,
2016-05-20,65.8,55.5,,
2016-05-21,65.8,55.5,,
2016-05-22,65.8,55.5,,
2016-05-23,65.8,55.5,,
2016-05-24,65.8,55.5,65.8,55.5
2016-05-25,65.8,55.5,,
2016-05-26,65.8,55.5,,
2016-05-27,65.8,55.5,,
2016-05-28,65.8,55.5,,
2016-05-29,65.8,55.5,,
2016-05-30,65.8,55.5,,
2016-05-31,65.8,55.5,,
2016-06-01,68.5,57.9,,
2016-06-02,68.5,57.9,,
2016-06-03,68.5,57.9,,
2016-06-04,68.5,57.9,68.5,57.9
2016-06-05,68.5,57.9,,
2016-06-06,68.5,57.9,,
2016-06-07,68.5,57.9,,
2016-06-08,68.5,57.9,,
2016-06-09,68.5,57.9,,
2016-06-10,68.5,57.9,68.5,57.9
2016-06-11,68.5,57.9,,
2016-06-12,68.5,57.9,,
2016-06-13,68.5,57.9,,
2016-06-14,68.5,57.9,,
2016-06-15,68.5,57.9,,
2016-06-16,68.5,59.3,,
2016-06-17,67.6,59.3,68.0,58.9
2016-06-18,67.6,59.3,,
2016-06-19,67.6,59.3,,
2016-06-20,67.6,59.3,,
2016-06-21,67.6,59.3,,
2016-06-22,67.6,59.3,,
2016-06-23,67.6,59.3,,
2016-06-24,67.6,59.3,67.6,59.3
2016-06-25,67.6,59.3,,
2016-06-26,67.6,59.3,,
2016-06-27,67.6,59.3,,
2016-06-28,67.6,59.3,,
2016-06-29,67.6,59.3,,
2016-06-30,67.6,59.3,,
2019-03-01,73.8,70.8,,
2019-03-02,73.9,71.0,,
2019-03-03,74.0,71.1,,
2019-03-04,74.1,71.3,74.1,71.2
2019-03-05,74.2,71.4,,
2019-03-06,74.2,71.4,,
2019-03-07,74.2,71.4,,
2019-03-08,74.2,71.3,,
2019-03-09,74.3,71.3,,
2019-03-10,74.4,71.3,74.3,71.2
2019-03-11,74.4,71.2,,
2019-03-12,74.4,71.1,,
2019-03-13,74.4,71.1,,
2019-03-14,74.5,71.1,,
2019-03-15,74.5,70.9,,
2019-03-16,74.6,70.9,,
2019-03-17,74.7,70.8,74.7,70.8
2019-03-18,74.8,70.6,,
2019-03-19,74.8,70.5,,
2019-03-20,74.8,70.5,,
2019-03-21,74.7,70.4,,
2019-03-22,74.7,70.3,,
2019-03-23,74.8,70.4,,
2019-03-24,74.9,70.4,74.8,70.3
2019-03-25,74.9,70.2,,
2019-03-26,74.9,70.2,,
2019-03-27,74.9,70.2,,
2019-03-28,74.8,70.1,,
2019-03-29,74.8,70.0,,
2019-03-30,74.9,70.0,,
2019-03-31,74.9,69.9,,
2019-04-01,74.9,69.8,,
2019-04-05,74.9,69.9,,
2019-04-09,74.8,69.8,,
2019-04-10,74.8,69.8,74.9,69.9
2019-04-11,74.8,69.8,,
2019-04-12,74.9,69.9,,
2019-04-13,74.9,69.9,,
2019-04-14,74.9,70.0,,
2019-04-15,75.0,70.0,,
2019-04-16,75.0,70.1,,
2019-04-17,75.0,70.1,75.0,70.0
2019-04-18,75.0,70.1,,
2019-04-19,75.0,70.1,,
2019-04-20,75.0,70.1,,
2019-04-21,75.0,70.2,,
2019-04-22,75.0,70.2,,
2019-04-23,75.0,70.2,,
2019-04-24,75.0,70.2,75.0,70.3
2019-04-25,75.1,70.3,,
2019-04-26,75.1,70.4,,
2019-04-27,75.1,70.4,,
2019-04-28,75.1,70.4,,
2019-04-29,75.1,70.4,,
2019-04-30,75.2,70.5,,
2019-05-01,75.2,70.5,,
2019-05-02,75.1,70.4,,
2019-05-03,75.1,70.4,,
2019-05-04,75.2,70.5,75.0,70.4
2019-05-08,75.0,70.4,,
2019-05-09,74.9,70.3,,
2019-05-10,74.7,70.2,,
2019-05-11,74.2,70.0,,
2019-05-12,73.7,69.8,,
2019-05-13,73.4,69.7,,
2019-05-14,73.2,69.6,,
2019-05-15,73.2,69.6,,
2019-05-16,73.2,69.6,,
2019-05-17,73.1,69.7,73.1,69.7
2019-05-18,73.0,69.7,,
2019-05-19,73.0,69.7,,
2019-05-20,73.1,69.8,,
2019-05-21,73.2,69.9,,
2019-05-22,73.2,69.9,,
2019-05-23,73.2,70.0,,
2019-05-24,73.4,70.2,73.4,70.2
2019-05-25,73.5,70.3,,
2019-05-26,73.6,70.4,,
2019-05-27,73.8,70.4,,
2019-05-28,73.9,70.5,,
2019-05-29,73.9,70.5,,
2019-05-30,73.8,70.4,,
