DATES,PETROL,DIESEL,pet(weekly),die(weekly)
01-03-2024,107.7,96.6,,
02-03-2024,107.7,96.6,,
03-03-2024,107.7,96.6,,
04-03-2024,107.7,96.6,107.7,96.6
05-03-2024,107.7,96.6,,
06-03-2024,107.7,96.6,,
07-03-2024,107.7,96.6,,
08-03-2024,107.7,96.6,,
09-03-2024,107.7,96.6,,
10-03-2024,107.7,96.6,,
11-03-2024,107.7,96.6,107.7,96.6
12-03-2024,107.7,96.6,,
13-03-2024,107.7,96.6,,
14-03-2024,107.7,96.6,,
15-03-2024,105.5,94.5,,
16-03-2024,105.6,94.5,,
17-03-2024,105.6,94.5,,
18-03-2024,105.6,94.5,105.5,94.5
19-03-2024,105.6,94.5,,
20-03-2024,105.6,94.5,,
21-03-2024,105.6,94.5,,
22-03-2024,105.6,94.5,,
23-03-2024,105.6,94.5,,
24-03-2024,105.6,94.5,105.6,94.5
25-03-2024,105.6,94.5,,
26-03-2024,105.6,94.5,,
27-03-2024,105.6,94.5,,
28-03-2024,105.6,94.5,,
29-03-2024,105.6,94.5,,
30-03-2024,105.6,94.5,,
31-03-2024,105.6,94.5,,
01-04-2024,105.6,94.5,,
02-04-2024,105.6,94.5,,
03-04-2024,105.6,94.5,,
04-04-2024,105.6,94.5,105.6,94.5
05-04-2024,105.6,94.5,,
06-04-2024,105.6,94.5,,
07-04-2024,105.6,94.5,,
08-04-2024,105.6,94.5,,
09-04-2024,105.6,94.5,,
10-04-2024,105.6,94.5,,
11-04-2024,105.6,94.5,105.6,94.5
12-04-2024,105.6,94.5,,
13-04-2024,105.6,94.5,,
14-04-2024,105.6,94.5,,
15-04-2024,105.6,94.5,,
16-04-2024,105.6,94.5,,
17-04-2024,105.6,94.5,,
18-04-2024,105.6,94.5,105.6,94.5
19-04-2024,105.6,94.5,,
20-04-2024,105.6,94.5,,
21-04-2024,105.6,94.5,,
22-04-2024,105.6,94.5,,
23-04-2024,105.6,94.5,,
24-04-2024,105.6,94.5,105.6,94.5
25-04-2024,105.6,94.5,,
26-04-2024,105.6,94.5,,
27-04-2024,105.6,94.5,,
28-04-2024,105.6,94.5,,
29-04-2024,105.6,94.5,,
30-04-2024,105.6,94.5,,
01-05-2024,105.35,94.1,,
02-05-2024,105.35,94.1,,
03-05-2024,105.35,94.1,,
04-05-2024,105.35,94.1,105.6,94.5
05-05-2024,105.35,94.1,,
06-05-2024,105.35,94.1,,
07-05-2024,105.35,94.1,,
08-05-2024,105.35,94.1,,
09-05-2024,105.35,94.1,,
10-05-2024,105.35,94.1,,
11-05-2024,105.35,94.1,105.6,94.5
12-05-2024,105.35,94.1,,
13-05-2024,105.35,94.1,,
14-05-2024,105.35,94.1,,
15-05-2024,105.35,94.1,,
16-05-2024,105.35,94.1,,
17-05-2024,105.35,94.1,,
18-05-2024,105.35,94.1,105.6,94.5
19-05-2024,105.35,94.1,,
20-05-2024,105.35,94.1,,
21-05-2024,105.35,94.1,,
22-05-2024,105.35,94.1,,
23-05-2024,105.35,94.1,,
24-05-2024,105.35,94.1,105.6,94.5
25-05-2024,105.35,94.1,,
26-05-2024,105.35,94.1,,
27-05-2024,105.35,94.1,,
28-05-2024,105.35,94.1,,
29-05-2024,105.35,94.1,,
30-05-2024,105.35,94.1,,
31-05-2024,105.35,94.1,,
01-06-2024,105.9,94.9,,
02-06-2024,105.9,94.9,,
03-06-2024,105.9,94.9,,
04-06-2024,105.9,94.9,105.6,94.5
05-06-2024,105.9,94.9,,
06-06-2024,105.9,94.9,,
07-06-2024,105.9,94.9,,
08-06-2024,105.9,94.9,,
09-06-2024,105.9,94.9,,
10-06-2024,105.9,94.9,,
11-06-2024,105.9,94.9,105.6,94.5
12-06-2024,105.9,94.9,,
13-06-2024,105.9,94.9,,
14-06-2024,105.9,94.9,,
15-06-2024,105.9,94.9,,
16-06-2024,105.9,94.9,,
17-06-2024,105.9,94.9,,
18-06-2024,105.9,94.9,105.6,94.5
19-06-2024,105.9,94.9,,
20-06-2024,105.9,94.9,,
21-06-2024,105.9,94.9,,
22-06-2024,105.9,94.9,,
23-06-2024,105.9,94.9,,
24-06-2024,105.9,94.9,105.6,94.5
25-06-2024,105.9,94.9,,
26-06-2024,105.9,94.9,,
27-06-2024,105.9,94.9,,
28-06-2024,105.9,94.9,,
29-06-2024,105.9,94.9,,
30-06-2024,105.9,94.9,,
